trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-184.96897433524595,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-124.53533951904524,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-102.12639642111212,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-128.0967378521935,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-113.4258448585927,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-84.07422495767808,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,11,-132.02079895425663,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-147.5538739997347,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-14.5414654295729,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-68.77279495289302,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-184.25487461748563,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-235.61296479401835,"{0: 14, 1: 0, 2: 13, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-204.84431355138196,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-193.76759762359913,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-286.77492485121223,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,-52.3993440785935,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-100.14508511098101,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-173.61367297386113,"{0: 14, 1: 0, 2: 15, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-148.76112329703528,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-133.02633259606452,"{0: 25, 1: 0, 2: 8, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-141.00577201294755,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-99.86712998544017,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-133.53247086711758,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-185.61634441360803,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-165.24499910308674,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-60.84758809060102,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-300.23551440903594,"{0: 13, 1: 1, 2: 11, 3: 0, 4: 5}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-146.32046364684734,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-120.72674955846871,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-38.4368664115687,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
