trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99800199866733308}",20,0,-84.10703626313739,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.997004495503373}",25,0,-98.29118812609445,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.99600798934399148}",30,0,-72.25179010796924,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.99501247919268232}",20,0,-154.22835140273554,"{0: 9, 1: 0, 2: 7, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.99401796405393528}",30,1,-180.29655661902612,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.99302444293323511}",25,0,-98.4211994835557,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.99203191483706066}",25,0,-130.532821677634,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.99104037877288365}",20,0,-103.83915155321029,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.99004983374916811}",30,0,-133.4612251005387,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.98906027877536873}",30,0,-195.2434477256541,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.98807171286193052}",20,0,-99.49436968430982,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.98708413502028758}",25,0,-86.63473183494283,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.98609754426286189}",30,0,-212.1870697659325,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.98511193960306265}",25,0,-205.05361366189055,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.98412732005528514}",30,7,-116.9013620831645,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.98314368463490964}",20,0,-149.64853814547737,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.98216103235830077}",20,0,-10.477375578835511,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.981179362242806}",20,0,-122.35331874024195,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.98019867330675525}",20,0,-123.17856202024574,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.97921896456945956}",20,0,-24.255203805147843,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.97824023505121005}",20,0,-37.132334796109184,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.97726248377327707}",20,0,-121.62363331409159,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.97628570975790929}",20,0,-99.39410497866172,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.97530991202833262}",25,0,-163.85222928426333,"{0: 13, 1: 2, 2: 5, 3: 4, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.97433508960874937}",20,0,-149.9048443998084,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.97336124152433678}",25,0,-135.95746856931538,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.97238836680124685}",25,0,-79.26575932818378,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.97141646446660479}",20,0,-121.66708909412687,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.97044553354850815}",25,0,-104.3677409452068,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.96947557307602594}",25,0,-95.0355965965772,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9685065820791976}",20,9,-65.03299493113597,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.96753855958903201}",30,0,-159.88705711432488,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.96657150463750663}",20,0,-172.4567503168261,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.96560541625756646}",20,0,-94.34693154725561,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.96464029348312308}",25,0,-150.692669891719,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
