trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-43.487892225645396,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.73132923845364,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,3,-74.9353509415479,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-58.49235518380365,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.64104586855542,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.3820744218335,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.81933870190605,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.10148085002501,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-254.0636384317655,"{0: 10, 1: 1, 2: 8, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.96101109490758,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.61986880708837,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.47525542474618,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.7831055847252,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-185.0632962683177,"{0: 20, 1: 1, 2: 12, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,8,-69.91025251646558,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.23201872820748,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.07089295263745,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.68808875206224,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.97814934684287,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.67448865989198,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.44456718106596,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,1,-153.2127717543105,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-33.009729370937514,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.3207475178722,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.59186906329708,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.37362832085424,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.2239614126025,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-80.2411581135458,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.62597588302253,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.19683704877535,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
